City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
148,New Norfolk,AU,2019-08-26 17:26:32,-42.78,147.06,50.0,66,75,6.93,broken clouds,0.0,0
149,Chuy,UY,2019-08-26 17:24:10,-33.69,-53.46,58.87,89,100,3.76,overcast clouds,0.0,0
150,Ancud,CL,2019-08-26 17:26:33,-41.87,-73.83,48.2,61,40,14.99,scattered clouds,0.0,0
151,Cabo San Lucas,MX,2019-08-26 17:21:45,22.89,-109.91,97.0,62,75,18.34,broken clouds,0.0,0
152,Makakilo City,US,2019-08-26 17:25:58,21.35,-158.09,80.6,94,90,3.36,shower rain,0.0,0
153,Mount Isa,AU,2019-08-26 17:26:34,-20.73,139.49,60.8,31,29,13.87,scattered clouds,0.0,0
154,Vao,EE,2019-08-26 17:26:34,59.1,26.19,62.11,86,93,9.22,overcast clouds,0.0,0
155,Bethel,US,2019-08-26 17:26:34,60.79,-161.76,51.8,87,90,3.36,overcast clouds,0.0,0
156,Kolpashevo,RU,2019-08-26 17:26:34,58.31,82.9,58.69,68,91,12.77,overcast clouds,0.0,0
157,Victoria,BN,2019-08-26 17:22:35,5.28,115.24,77.0,94,90,2.24,light rain,0.0,0
158,Tefe,BR,2019-08-26 17:26:35,-3.35,-64.71,87.8,66,40,6.93,scattered clouds,0.0,0
159,Garowe,SO,2019-08-26 17:26:35,8.41,48.48,84.25,38,69,11.86,broken clouds,0.0,0
160,Rovinj,HR,2019-08-26 17:26:36,45.08,13.64,82.99,61,0,8.05,clear sky,0.0,0
161,Chokurdakh,RU,2019-08-26 17:26:36,70.62,147.9,40.69,88,100,10.29,light rain,0.125,0
162,Horadiz,AZ,2019-08-26 17:26:36,39.45,47.33,80.6,51,0,19.46,clear sky,0.0,0
163,Preobrazheniye,RU,2019-08-26 17:26:36,42.9,133.91,60.67,99,90,1.72,overcast clouds,0.0,0
164,Mehamn,NO,2019-08-26 17:26:37,71.03,27.85,51.8,87,75,2.24,light intensity drizzle,0.0,0
165,Hami,CN,2019-08-26 17:26:37,42.84,93.51,76.33,21,0,5.75,clear sky,0.0,0
166,Hambantota,LK,2019-08-26 17:26:37,6.12,81.12,81.55,82,100,15.1,light rain,0.125,0
167,Oktyabrskoye,RU,2019-08-26 17:26:38,56.73,85.44,59.0,81,0,2.24,clear sky,0.0,0
168,Impfondo,CD,2019-08-26 17:26:38,1.62,18.06,73.99,78,18,1.66,few clouds,0.0,0
169,Ahipara,NZ,2019-08-26 17:26:38,-35.17,173.16,44.01,100,73,13.76,broken clouds,0.0,0
170,Iqaluit,CA,2019-08-26 17:26:38,63.75,-68.52,46.4,87,90,2.24,light rain,0.0,0
171,San Policarpo,PH,2019-08-26 17:26:39,12.18,125.51,75.61,87,100,13.38,moderate rain,4.312,0
172,Saldanha,PT,2019-08-26 17:26:39,41.42,-6.55,74.71,51,84,5.73,broken clouds,0.0,0
