City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
188,Mahon,39.8885,4.2658,54.16,71,40,12.66,ES,2022-11-29 07:38:52
189,Pak Phanang,8.3511,100.202,91.42,69,100,8.05,TH,2022-11-29 07:38:52
190,Florianopolis,-27.6146,-48.5012,69.4,100,75,3.44,BR,2022-11-29 07:38:53
191,Forestville,38.8451,-76.875,41.25,84,0,3.44,US,2022-11-29 07:38:53
192,Hasaki,35.7333,140.8333,68.4,76,98,29.62,JP,2022-11-29 07:38:54
193,Yumen,40.2833,97.2,5.45,60,0,15.35,CN,2022-11-29 07:38:54
194,Constitucion,-35.3333,-72.4167,54.36,79,0,4.34,CL,2022-11-29 07:38:54
195,Zhigansk,66.7697,123.3711,-40.88,98,44,5.23,RU,2022-11-29 07:38:55
196,Skelleftea,64.7507,20.9528,33.01,100,100,3.44,SE,2022-11-29 07:38:55
197,Libreville,0.3925,9.4537,77.02,94,75,4.61,GA,2022-11-29 07:38:55
198,Jiancheng,30.391,104.5491,56.46,47,100,10.63,CN,2022-11-29 07:38:56
199,Warrnambool,-38.3833,142.4833,56.93,72,70,9.55,AU,2022-11-29 07:38:56
200,Port Blair,11.6667,92.75,84.24,79,40,6.91,IN,2022-11-29 07:38:57
201,Porbandar,21.6422,69.6093,85.08,26,6,3.31,IN,2022-11-29 07:38:57
202,Ambulu,-8.345,113.6058,79.57,85,100,3.83,ID,2022-11-29 07:38:57
203,Chuy,-33.6971,-53.4616,63.64,95,2,6.2,UY,2022-11-29 07:38:58
204,Kilindoni,-7.9139,39.6668,80.53,75,12,8.08,TZ,2022-11-29 07:38:58
205,Hobyo,5.3505,48.5268,84.36,57,99,19.57,SO,2022-11-29 07:38:58
206,Lincoln,40.8,-96.667,44.29,70,75,9.22,US,2022-11-29 07:35:05
207,Inhambane,-23.865,35.3833,80.58,50,40,20.71,MZ,2022-11-29 07:38:59
208,Hobart,-42.8794,147.3294,63.27,46,0,17.27,AU,2022-11-29 07:38:58
209,Marsa Matruh,31.3525,27.2453,64.6,68,40,9.22,EG,2022-11-29 07:38:59
210,Honiara,-9.4333,159.95,79.29,84,100,2.46,SB,2022-11-29 07:39:00
211,Los Llanos De Aridane,28.6585,-17.9182,67.12,30,75,11.01,ES,2022-11-29 07:39:00
212,Pochutla,15.7432,-96.4661,72.82,85,100,3.18,MX,2022-11-29 07:39:01
213,Kruisfontein,-34.0033,24.7314,87.89,28,2,6.04,ZA,2022-11-29 07:39:01
214,Arona,28.0996,-16.681,65.39,57,0,6.91,ES,2022-11-29 07:39:01
215,Bangui,4.3612,18.555,77.18,88,75,3.44,CF,2022-11-29 07:39:02
216,Valdivia,-39.8142,-73.2459,44.69,94,35,1.7,CL,2022-11-29 07:39:02
217,Sandnessjoen,66.0217,12.6316,42.91,56,0,8.05,NO,2022-11-29 07:39:03
218,Ganzhou,28.8184,115.4327,53.24,86,100,13.49,CN,2022-11-29 07:39:03
219,Boa Vista,2.8197,-60.6733,73.38,100,75,5.75,BR,2022-11-29 07:39:04
220,Faya,18.3851,42.4509,66.72,29,5,2.17,SA,2022-11-29 07:39:04
221,Clyde River,70.4692,-68.5914,-10.97,84,100,20.71,CA,2022-11-29 07:39:07
222,Liseleje,56.0053,11.9483,41.25,76,100,10.0,DK,2022-11-29 07:39:07
223,Aklavik,68.2191,-135.0107,-24.12,94,79,6.24,CA,2022-11-29 07:39:07
224,Champerico,14.3,-91.9167,76.24,88,100,8.72,GT,2022-11-29 07:39:08
225,Mindelo,16.8901,-24.9804,72.95,73,40,16.11,CV,2022-11-29 07:39:08
226,San Juan,-31.5375,-68.5364,77.52,39,33,1.43,AR,2022-11-29 07:39:09
227,Phalaborwa,-23.943,31.1411,74.48,44,8,8.84,ZA,2022-11-29 07:39:09
228,Aquiraz,-3.9014,-38.3911,80.19,80,100,1.14,BR,2022-11-29 07:39:02
229,Rundu,-17.9333,19.7667,85.57,29,28,9.33,NA,2022-11-29 07:39:10
230,Tura,25.5198,90.2201,78.6,44,0,3.04,IN,2022-11-29 07:39:10
231,Yulara,-25.2406,130.9889,85.42,16,5,7.54,AU,2022-11-29 07:39:10
232,Aloleng,16.1307,119.7824,85.57,71,5,9.22,PH,2022-11-29 07:39:11
233,Voh,-20.9667,164.7,82.27,72,99,5.66,NC,2022-11-29 07:39:11
234,San Cristobal,7.7669,-72.225,64.13,97,100,4.18,VE,2022-11-29 07:39:12
235,Avera,33.194,-82.5271,42.31,73,0,2.48,US,2022-11-29 07:39:12
236,Port Moresby,-9.4431,147.1797,85.42,66,40,11.5,PG,2022-11-29 07:39:12
237,Olinda,-8.0089,-34.8553,76.73,83,100,4.61,BR,2022-11-29 07:36:58
238,Kamaishi,39.2667,141.8833,63.45,82,100,21.25,JP,2022-11-29 07:39:13
